Accession ID,Cluster,Sequence Length,NCBI ID,Protein Name,Taxonomy ID,Scientific Name,Kingdom
HGB35756,Archaeal Alba,99,tpg|HGB35756.1|,RNA-binding protein [candidate division WOR-3 bacterium],2052148,candidate division WOR-3 bacterium,Bacteria
HGC33857,Archaeal Alba,143,tpg|HGC33857.1|,hypothetical protein [Nitrososphaerales archaeon],2268197,Nitrososphaerales archaeon,Archaea
HGC55703,Archaeal Alba,104,tpg|HGC55703.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
OIR20743,Archaeal Alba,80,gb|OIR20743.1|,hypothetical protein BEU01_01095 [Marine Group III euryarchaeote CG-Epi4],1888998,Marine Group III euryarchaeote CG-Epi4,Archaea
HGC56889,Archaeal Alba,91,tpg|HGC56889.1|,RNA-binding protein [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGD08520,Archaeal Alba,90,tpg|HGD08520.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
HGD22053,Archaeal Alba,122,tpg|HGD22053.1|,RNA-binding protein [Nitrososphaerales archaeon],2268197,Nitrososphaerales archaeon,Archaea
HGD22114,Archaeal Alba,76,tpg|HGD22114.1|,DNA-binding protein [Nitrososphaerales archaeon],2268197,Nitrososphaerales archaeon,Archaea
HGD35697,Archaeal Alba,130,tpg|HGD35697.1|,DNA/RNA-binding protein AlbA [Nitrososphaerales archaeon],2268197,Nitrososphaerales archaeon,Archaea
HGD35959,Archaeal Alba,91,tpg|HGD35959.1|,DNA-binding protein Alba [Nitrososphaerales archaeon],2268197,Nitrososphaerales archaeon,Archaea
HGD44629,Archaeal Alba,93,tpg|HGD44629.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
EQB66327,Archaeal Alba,95,gb|EQB66327.1|,hypothetical protein AMDU3_IPLC00001G0493 [Thermoplasmatales archaeon I-plasma],667138,Thermoplasmatales archaeon I-plasma,Archaea
HGE76006,Archaeal Alba,93,tpg|HGE76006.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
HGE77117,Archaeal Alba,93,tpg|HGE77117.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
HGD47475,Archaeal Alba,107,tpg|HGD47475.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
HGD65926,Archaeal Alba,104,tpg|HGD65926.1|,RNA-binding protein [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGD66012,Archaeal Alba,100,tpg|HGD66012.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
OIR23511,Archaeal Alba,132,gb|OIR23511.1|,hypothetical protein BEU00_02295 [Marine Group III euryarchaeote CG-Epi3],1888997,Marine Group III euryarchaeote CG-Epi3,Archaea
HGE04567,Archaeal Alba,98,tpg|HGE04567.1|,DNA-binding protein Alba [Hadesarchaea archaeon],2250276,Hadesarchaea archaeon,Archaea
HGE07936,Archaeal Alba,102,tpg|HGE07936.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
HGE40506,Archaeal Alba,92,tpg|HGE40506.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGE41788,Archaeal Alba,113,tpg|HGE41788.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGE54262,Archaeal Alba,76,tpg|HGE54262.1|,DNA-binding protein Alba [Candidatus Aenigmarchaeota archaeon],2093792,Candidatus Aenigmarchaeota archaeon,Archaea
HGF49927,Archaeal Alba,104,tpg|HGF49927.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
HGF63382,Archaeal Alba,95,tpg|HGF63382.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
HGF75305,Archaeal Alba,94,tpg|HGF75305.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGI38458,Archaeal Alba,94,tpg|HGI38458.1|,DNA/RNA-binding protein AlbA [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGK13433,Archaeal Alba,94,tpg|HGK13433.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGF82685,Archaeal Alba,98,tpg|HGF82685.1|,DNA-binding protein Alba [Candidatus Aenigmarchaeota archaeon],2093792,Candidatus Aenigmarchaeota archaeon,Archaea
HGG69401,Archaeal Alba,97,tpg|HGG69401.1|,DNA-binding protein Alba [Candidatus Pacearchaeota archaeon],2026773,Candidatus Pacearchaeota archaeon,Archaea
HGG97260,Archaeal Alba,124,tpg|HGG97260.1|,DNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGG97423,Archaeal Alba,91,tpg|HGG97423.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGH78048,Archaeal Alba,97,tpg|HGH78048.1|,DNA-binding protein Alba [Candidatus Micrarchaeota archaeon],2250274,Candidatus Micrarchaeota archaeon,Archaea
HGH79639,Archaeal Alba,98,tpg|HGH79639.1|,DNA-binding protein Alba [archaeon],1906665,archaeon,Archaea
HGI12810,Archaeal Alba,88,tpg|HGI12810.1|,DNA/RNA-binding protein AlbA [Candidatus Methanomethylicus sp.],2282147,Candidatus Methanomethylicus sp.,Archaea
MBC7113982,Archaeal Alba,88,gb|MBC7113982.1|,DNA/RNA-binding protein AlbA [Candidatus Methanomethyliales bacterium],2758716,Candidatus Methanomethyliales bacterium,Archaea
NHV60431,Archaeal Alba,88,gb|NHV60431.1|,DNA/RNA-binding protein AlbA [Candidatus Verstraetearchaeota archaeon],2250257,Candidatus Verstraetearchaeota archaeon,Archaea
TDA40092,Archaeal Alba,88,gb|TDA40092.1|,RNA-binding protein [Candidatus Verstraetearchaeota archaeon],2250257,Candidatus Verstraetearchaeota archaeon,Archaea
HGI33204,Archaeal Alba,91,tpg|HGI33204.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
HGI38126,Archaeal Alba,99,tpg|HGI38126.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGI42110,Archaeal Alba,96,tpg|HGI42110.1|,DNA-binding protein Alba [Candidatus Aenigmarchaeota archaeon],2093792,Candidatus Aenigmarchaeota archaeon,Archaea
HGI42825,Archaeal Alba,93,tpg|HGI42825.1|,DNA-binding protein Alba [Thermofilum pendens],2269,Thermofilum pendens,Archaea
HEB48315,Archaeal Alba,93,tpg|HEB48315.1|,DNA-binding protein Alba [Thermofilum pendens],2269,Thermofilum pendens,Archaea
HEL43545,Archaeal Alba,93,tpg|HEL43545.1|,DNA-binding protein Alba [Thermofilum sp.],1961369,Thermofilum sp.,Archaea
HGI43271,Archaeal Alba,89,tpg|HGI43271.1|,DNA-binding protein [Thermofilum pendens],2269,Thermofilum pendens,Archaea
HGB24939,Archaeal Alba,89,tpg|HGB24939.1|,hypothetical protein [Thermofilum pendens],2269,Thermofilum pendens,Archaea
HGJ08203,Archaeal Alba,89,tpg|HGJ08203.1|,DNA-binding protein Alba [Archaeoglobus sp.],1872626,Archaeoglobus sp.,Archaea
NHW23977,Archaeal Alba,89,gb|NHW23977.1|,DNA-binding protein Alba [Archaeoglobales archaeon],2250258,Archaeoglobales archaeon,Archaea
TDA30474,Archaeal Alba,89,gb|TDA30474.1|,DNA-binding protein Alba [Archaeoglobi archaeon],2250530,Archaeoglobi archaeon,Archaea
HEH35385,Archaeal Alba,89,tpg|HEH35385.1|,DNA-binding protein Alba [Archaeoglobus fulgidus],2234,Archaeoglobus fulgidus,Archaea
HGQ79193,Archaeal Alba,89,tpg|HGQ79193.1|,DNA-binding protein Alba [Archaeoglobus sp.],1872626,Archaeoglobus sp.,Archaea
NHW88870,Archaeal Alba,89,gb|NHW88870.1|,DNA-binding protein Alba [Archaeoglobales archaeon],2250258,Archaeoglobales archaeon,Archaea
TDA27372,Archaeal Alba,89,gb|TDA27372.1|,DNA-binding protein Alba [Archaeoglobi archaeon],2250530,Archaeoglobi archaeon,Archaea
HGT83475,Archaeal Alba,87,tpg|HGT83475.1|,DNA-binding protein Alba [Archaeoglobus fulgidus],2234,Archaeoglobus fulgidus,Archaea
HGJ18041,Archaeal Alba,89,tpg|HGJ18041.1|,DNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HFT82352,Archaeal Alba,92,tpg|HFT82352.1|,DNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HGJ18051,Archaeal Alba,39,tpg|HGJ18051.1|,RNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HGJ65398,Archaeal Alba,91,tpg|HGJ65398.1|,DNA-binding protein Alba [bacterium],1869227,bacterium,Bacteria
HII94146,Archaeal Alba,91,tpg|HII94146.1|,DNA-binding protein Alba [Candidatus Methanofastidiosum sp.],2666341,Candidatus Methanofastidiosum sp.,Archaea
KYC44711,Archaeal Alba,91,gb|KYC44711.1|,DNA/RNA-binding protein Alba [Candidatus Methanofastidiosum methylthiophilus],1705564,Candidatus Methanofastidiosum methylthiophilus,Archaea
KYC52327,Archaeal Alba,91,gb|KYC52327.1|,DNA/RNA-binding protein Alba [Candidatus Methanofastidiosum methylthiophilus],1705564,Candidatus Methanofastidiosum methylthiophilus,Archaea
KYC52741,Archaeal Alba,91,gb|KYC52741.1|,DNA/RNA-binding protein Alba [Candidatus Methanofastidiosum methylthiophilus],1705564,Candidatus Methanofastidiosum methylthiophilus,Archaea
KYC55055,Archaeal Alba,91,gb|KYC55055.1|,DNA/RNA-binding protein Alba [Candidatus Methanofastidiosum methylthiophilus],1705564,Candidatus Methanofastidiosum methylthiophilus,Archaea
NMC60343,Archaeal Alba,91,gb|NMC60343.1|,DNA-binding protein Alba [Candidatus Methanofastidiosa archaeon],2099674,Candidatus Methanofastidiosa archaeon,Archaea
NPV50844,Archaeal Alba,91,gb|NPV50844.1|,DNA-binding protein Alba [Candidatus Methanofastidiosum sp.],2666341,Candidatus Methanofastidiosum sp.,Archaea
MBP7819811,Archaeal Alba,91,gb|MBP7819811.1|,DNA-binding protein Alba [Candidatus Methanofastidiosum sp.],2666341,Candidatus Methanofastidiosum sp.,Archaea
HGK13846,Archaeal Alba,91,tpg|HGK13846.1|,RNA-binding protein [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGK14024,Archaeal Alba,98,tpg|HGK14024.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGK24906,Archaeal Alba,93,tpg|HGK24906.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGK48438,Archaeal Alba,92,tpg|HGK48438.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HDO41508,Archaeal Alba,92,tpg|HDO41508.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGK54519,Archaeal Alba,92,tpg|HGK54519.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGK74545,Archaeal Alba,92,tpg|HGK74545.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGM51551,Archaeal Alba,92,tpg|HGM51551.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGN40374,Archaeal Alba,92,tpg|HGN40374.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGN49333,Archaeal Alba,92,NA,NA,NA,NA,NA
HGK64364,Archaeal Alba,92,NA,NA,NA,NA,NA
MBS7640478,Archaeal Alba,92,gb|MBS7640478.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
MBS7605151,Archaeal Alba,92,gb|MBS7605151.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
MBS7634829,Archaeal Alba,92,gb|MBS7634829.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
MBS7606999,Archaeal Alba,92,gb|MBS7606999.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
MBS7648958,Archaeal Alba,92,gb|MBS7648958.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGK50670,Archaeal Alba,89,tpg|HGK50670.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGK57713,Archaeal Alba,97,tpg|HGK57713.1|,DNA-binding protein Alba [Hadesarchaea archaeon],2250276,Hadesarchaea archaeon,Archaea
HGJ10513,Archaeal Alba,99,tpg|HGJ10513.1|,DNA-binding protein Alba [Hadesarchaea archaeon],2250276,Hadesarchaea archaeon,Archaea
HGK66483,Archaeal Alba,92,tpg|HGK66483.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGB90854,Archaeal Alba,92,tpg|HGB90854.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGK67054,Archaeal Alba,89,tpg|HGK67054.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGK67886,Archaeal Alba,107,tpg|HGK67886.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGK75165,Archaeal Alba,91,tpg|HGK75165.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGL37427,Archaeal Alba,110,tpg|HGL37427.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGL40156,Archaeal Alba,95,tpg|HGL40156.1|,hypothetical protein [Candidatus Caldarchaeum subterraneum],311458,Candidatus Caldarchaeum subterraneum,Archaea
HGL40159,Archaeal Alba,95,tpg|HGL40159.1|,RNA-binding protein [Candidatus Caldarchaeum subterraneum],311458,Candidatus Caldarchaeum subterraneum,Archaea
HGL40255,Archaeal Alba,94,tpg|HGL40255.1|,RNA-binding protein [Candidatus Caldarchaeum subterraneum],311458,Candidatus Caldarchaeum subterraneum,Archaea
BAJ47014,Archaeal Alba,94,dbj|BAJ47014.1|,DNA-binding protein Alba [Candidatus Caldarchaeum subterraneum],311458,Candidatus Caldarchaeum subterraneum,Archaea
HGL40289,Archaeal Alba,94,tpg|HGL40289.1|,DNA-binding protein Alba [Candidatus Caldarchaeum subterraneum],311458,Candidatus Caldarchaeum subterraneum,Archaea
BAJ48200,Archaeal Alba,94,dbj|BAJ48200.1|,archaea-specific DNA-binding protein AlbA [Candidatus Caldarchaeum subterraneum],311458,Candidatus Caldarchaeum subterraneum,Archaea
HGL44594,Archaeal Alba,96,tpg|HGL44594.1|,DNA-binding protein Alba [Acidilobales archaeon],2268176,Acidilobales archaeon,Archaea
HES72706,Archaeal Alba,98,tpg|HES72706.1|,DNA-binding protein Alba [Acidilobales archaeon],2268176,Acidilobales archaeon,Archaea
HGL60603,Archaeal Alba,81,tpg|HGL60603.1|,DNA/RNA-binding protein AlbA [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGL61125,Archaeal Alba,88,tpg|HGL61125.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGL61827,Archaeal Alba,107,tpg|HGL61827.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGM00541,Archaeal Alba,93,tpg|HGM00541.1|,DNA-binding protein Alba [Candidatus Methanomethylicus sp.],2282147,Candidatus Methanomethylicus sp.,Archaea
HGM00571,Archaeal Alba,88,tpg|HGM00571.1|,DNA/RNA-binding protein AlbA [Candidatus Methanomethylicus sp.],2282147,Candidatus Methanomethylicus sp.,Archaea
HGM07163,Archaeal Alba,97,tpg|HGM07163.1|,DNA-binding protein Alba [Ignisphaera aggregans],334771,Ignisphaera aggregans,Archaea
HFQ78284,Archaeal Alba,97,tpg|HFQ78284.1|,DNA-binding protein Alba [Ignisphaera aggregans],334771,Ignisphaera aggregans,Archaea
HGM09632,Archaeal Alba,103,tpg|HGM09632.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGM36810,Archaeal Alba,95,tpg|HGM36810.1|,RNA-binding protein [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGM36918,Archaeal Alba,91,tpg|HGM36918.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGM46446,Archaeal Alba,93,tpg|HGM46446.1|,DNA-binding protein Alba [Thermofilum pendens],2269,Thermofilum pendens,Archaea
HGM46840,Archaeal Alba,92,tpg|HGM46840.1|,DNA-binding protein Alba [Thermofilum pendens],2269,Thermofilum pendens,Archaea
HGM47069,Archaeal Alba,97,tpg|HGM47069.1|,hypothetical protein [Thermofilum pendens],2269,Thermofilum pendens,Archaea
HGM59016,Archaeal Alba,97,tpg|HGM59016.1|,DNA-binding protein Alba [Staphylothermus marinus],2280,Staphylothermus marinus,Archaea
HGM59018,Archaeal Alba,85,tpg|HGM59018.1|,DNA-binding protein [Staphylothermus marinus],2280,Staphylothermus marinus,Archaea
HGM79871,Archaeal Alba,89,tpg|HGM79871.1|,DNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HGM79939,Archaeal Alba,97,tpg|HGM79939.1|,DNA-binding protein Alba [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HFT81754,Archaeal Alba,97,tpg|HFT81754.1|,DNA-binding protein Alba [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HGM87691,Archaeal Alba,92,tpg|HGM87691.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HFZ39001,Archaeal Alba,92,tpg|HFZ39001.1|,DNA-binding protein Alba [Nitrososphaeria archaeon],2268198,Nitrososphaeria archaeon,Archaea
HGN17935,Archaeal Alba,89,tpg|HGN17935.1|,DNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HGN36589,Archaeal Alba,96,tpg|HGN36589.1|,DNA-binding protein [Ignisphaera aggregans],334771,Ignisphaera aggregans,Archaea
HGN40149,Archaeal Alba,101,tpg|HGN40149.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGN51727,Archaeal Alba,110,tpg|HGN51727.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGN55320,Archaeal Alba,90,tpg|HGN55320.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGQ24750,Archaeal Alba,98,tpg|HGQ24750.1|,DNA-binding protein Alba [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HEV73949,Archaeal Alba,98,tpg|HEV73949.1|,DNA-binding protein Alba [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HGQ25003,Archaeal Alba,96,tpg|HGQ25003.1|,RNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HGQ25451,Archaeal Alba,88,tpg|HGQ25451.1|,DNA-binding protein [Desulfurococcaceae archaeon],2184738,Desulfurococcaceae archaeon,Archaea
HGQ36442,Archaeal Alba,97,tpg|HGQ36442.1|,DNA-binding protein Alba [Ignisphaera aggregans],334771,Ignisphaera aggregans,Archaea
HEW52930,Archaeal Alba,97,tpg|HEW52930.1|,DNA-binding protein Alba [Ignisphaera aggregans],334771,Ignisphaera aggregans,Archaea
HGQ36444,Archaeal Alba,92,tpg|HGQ36444.1|,DNA-binding protein [Ignisphaera aggregans],334771,Ignisphaera aggregans,Archaea
HGQ36967,Archaeal Alba,463,tpg|HGQ36967.1|,hypothetical protein [Candidatus Bathyarchaeota archaeon],2026714,Candidatus Bathyarchaeota archaeon,Archaea
HGQ49624,Archaeal Alba,99,tpg|HGQ49624.1|,DNA-binding protein Alba [Aeropyrum sp.],1872399,Aeropyrum sp.,Archaea
HGQ59646,Archaeal Alba,98,tpg|HGQ59646.1|,DNA-binding protein [Staphylothermus marinus],2280,Staphylothermus marinus,Archaea
HGQ59648,Archaeal Alba,96,tpg|HGQ59648.1|,DNA-binding protein Alba [Staphylothermus marinus],2280,Staphylothermus marinus,Archaea
OQA03716,Archaeal Alba,215,gb|OQA03716.1|,hypothetical protein BWY67_02396 [Bacteroidetes bacterium ADurb.Bin397],1852812,Bacteroidetes bacterium ADurb.Bin397,Bacteria
OQA31022,Archaeal Alba,110,gb|OQA31022.1|,DNA/RNA-binding protein Alba [archaeon ADurb.Bin336],1866922,archaeon ADurb.Bin336,Archaea
OWP55929,Archaeal Alba,91,gb|OWP55929.1|,DNA-binding protein Alba [Thermoplasmatales archaeon B_DKE],1961136,Thermoplasmatales archaeon B_DKE,Archaea
HGW08025,Archaeal Alba,91,tpg|HGW08025.1|,DNA-binding protein Alba [Euryarchaeota archaeon],2026739,Euryarchaeota archaeon,Archaea
OYT25249,Archaeal Alba,92,gb|OYT25249.1|,DNA-binding protein Alba [Thermofilum sp. ex4484_82],2012528,Thermofilum sp. ex4484_82,Archaea
OYT26643,Archaeal Alba,93,gb|OYT26643.1|,DNA-binding protein Alba [Thermoprotei archaeon ex4572_64],2012533,Thermoprotei archaeon ex4572_64,Archaea
OYT27008,Archaeal Alba,89,gb|OYT27008.1|,DNA-binding protein [Thermofilum sp. ex4484_82],2012528,Thermofilum sp. ex4484_82,Archaea
OYT29427,Archaeal Alba,51,gb|OYT29427.1|,hypothetical protein B6U95_02405 [Thermofilum sp. ex4484_82],2012528,Thermofilum sp. ex4484_82,Archaea
OYT30809,Archaeal Alba,90,gb|OYT30809.1|,DNA-binding protein Alba [Thermofilum sp. ex4484_79],2012527,Thermofilum sp. ex4484_79,Archaea
OYT32066,Archaeal Alba,92,gb|OYT32066.1|,DNA-binding protein Alba [Thermofilum sp. ex4484_79],2012527,Thermofilum sp. ex4484_79,Archaea
OYT32790,Archaeal Alba,94,gb|OYT32790.1|,DNA-binding protein Alba [Candidatus Woesearchaeota archaeon ex4484_78],2012531,Candidatus Woesearchaeota archaeon ex4484_78,Archaea
OYT33908,Archaeal Alba,90,gb|OYT33908.1|,DNA-binding protein Alba [Archaeoglobales archaeon ex4484_92],2012529,Archaeoglobales archaeon ex4484_92,Archaea
HGE66276,Archaeal Alba,90,tpg|HGE66276.1|,DNA-binding protein Alba [Geoglobus ahangari],113653,Geoglobus ahangari,Archaea
WP_012939804,Archaeal Alba,90,ref|WP_012939804.1|,DNA-binding protein Alba [Archaeoglobus profundus],84156,Archaeoglobus profundus,Archaea
HET22124,Archaeal Alba,89,tpg|HET22124.1|,DNA-binding protein Alba [Archaeoglobus fulgidus],2234,Archaeoglobus fulgidus,Archaea
MBO8180647,Archaeal Alba,89,gb|MBO8180647.1|,DNA-binding protein Alba [Archaeoglobus sp.],1872626,Archaeoglobus sp.,Archaea
WP_010878567,Archaeal Alba,89,ref|WP_010878567.1|,DNA-binding protein Alba [Archaeoglobus fulgidus],2234,Archaeoglobus fulgidus,Archaea
OYT34129,Archaeal Alba,91,gb|OYT34129.1|,DNA-binding protein Alba [Archaeoglobales archaeon ex4484_92],2012529,Archaeoglobales archaeon ex4484_92,Archaea
OYT37833,Archaeal Alba,95,gb|OYT37833.1|,DNA-binding protein Alba [Candidatus Pacearchaeota archaeon ex4484_31],2012515,Candidatus Pacearchaeota archaeon ex4484_31,Archaea
OYT41100,Archaeal Alba,99,gb|OYT41100.1|,DNA-binding protein Alba [Desulfurococcales archaeon ex4484_58],2012521,Desulfurococcales archaeon ex4484_58,Archaea
RLG81609,Archaeal Alba,98,gb|RLG81609.1|,DNA-binding protein Alba [Thermoprotei archaeon],2250277,Thermoprotei archaeon,Archaea
RLG90948,Archaeal Alba,98,gb|RLG90948.1|,DNA-binding protein Alba [Thermoprotei archaeon],2250277,Thermoprotei archaeon,Archaea
WP_011839256,Archaeal Alba,98,ref|WP_011839256.1|,DNA-binding protein Alba [Staphylothermus marinus],2280,Staphylothermus marinus,Archaea
WP_013143785,Archaeal Alba,98,ref|WP_013143785.1|,DNA-binding protein Alba [Staphylothermus hellenicus],84599,Staphylothermus hellenicus,Archaea
OYT41102,Archaeal Alba,89,gb|OYT41102.1|,DNA-binding protein [Desulfurococcales archaeon ex4484_58],2012521,Desulfurococcales archaeon ex4484_58,Archaea
OYT41962,Archaeal Alba,101,gb|OYT41962.1|,DNA-binding protein Alba [Candidatus Pacearchaeota archaeon ex4484_26],2012514,Candidatus Pacearchaeota archaeon ex4484_26,Archaea
OYT42061,Archaeal Alba,92,gb|OYT42061.1|,DNA-binding protein Alba [Candidatus Altiarchaeales archaeon ex4484_43],2012507,Candidatus Altiarchaeales archaeon ex4484_43,Archaea
OYT40413,Archaeal Alba,93,gb|OYT40413.1|,DNA-binding protein Alba [Candidatus Altiarchaeales archaeon ex4484_43],2012507,Candidatus Altiarchaeales archaeon ex4484_43,Archaea
OYT42727,Archaeal Alba,93,gb|OYT42727.1|,DNA-binding protein Alba [Candidatus Aenigmarchaeota archaeon ex4484_224],2012503,Candidatus Aenigmarchaeota archaeon ex4484_224,Archaea
OYT43660,Archaeal Alba,97,gb|OYT43660.1|,DNA-binding protein Alba [Candidatus Bathyarchaeota archaeon ex4484_40],2012513,Candidatus Bathyarchaeota archaeon ex4484_40,Archaea
KYH39581,Archaeal Alba,97,gb|KYH39581.1|,DNA-binding protein [Candidatus Bathyarchaeota archaeon B26-2],1779371,Candidatus Bathyarchaeota archaeon B26-2,Archaea
KYH42301,Archaeal Alba,97,gb|KYH42301.1|,DNA-binding protein [Candidatus Bathyarchaeota archaeon B26-1],1779370,Candidatus Bathyarchaeota archaeon B26-1,Archaea
OYT49156,Archaeal Alba,88,gb|OYT49156.1|,DNA-binding protein [Desulfurococcales archaeon ex4484_42],2012520,Desulfurococcales archaeon ex4484_42,Archaea
OYT49164,Archaeal Alba,103,gb|OYT49164.1|,DNA-binding protein Alba [Desulfurococcales archaeon ex4484_42],2012520,Desulfurococcales archaeon ex4484_42,Archaea
